name,price
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC GDDR6 12GB Graphics Card,"<span>58,900৳</span>"
Sapphire NITRO+ AMD Radeon RX 6700 XT 12GB RDNA GDDR6 Graphics Card,<span>TBA</span>
ZOTAC Gaming GeForce RTX 3060 AMP White Edition 12GB Graphics Card,"<span>64,900৳</span>"
ASUS KO RTX 3060 Ti Gaming Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3060 EAGLE 12GB GDDR6 Graphics Card,<span>TBA</span>
Asus Phoenix GeForce GT 1030 OC 2GB GDDR5 Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce RTX 3070 OC Edition 8GB GDDR6 Gaming Graphics Card,<span>TBA</span>
GALAX GeForce RTX 3090 HOF 24GB GDDR6X Graphics Card,<span>TBA</span>
GALAX GeForce RTX 3090 HOF Limited Edition 24GB GDDR6X Graphics Card,<span>TBA</span>
ASUS Dual NVIDIA GeForce RTX 3070 OC Edition 8GB Gaming Graphics Card,<span>TBA</span>
ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3080 Ti AMP Holo 12GB Graphics Card,"<span>175,900৳</span>"
ZOTAC GAMING GeForce RTX 3080 Ti Trinity 12GB GDDR6X Graphics Card,"<span>159,900৳</span>"
ZOTAC GAMING GeForce RTX 3070 Ti Trinity 8GB GDDR6X Graphics Card,<span>TBA</span>
ZOTAC Gaming GeForce RTX 3070 Twin Edge OC LHR White Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX3080 Trinity OC LHR 10GB GDDR6X Graphics Card,"<span>122,000৳</span>"
Palit GeForce GTX 1660 DUAL 6GB GDDR5 Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1650 D6 EAGLE OC 4GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3080 Ti EAGLE OC 12GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3070 TI EAGLE OC 8GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3070 TI EAGLE 8GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte GeForce RTX 3080 EAGLE 10GB Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce RTX 3060 V2 GAMING OC Edition 12GB GDDR6 Graphics Card,<span>TBA</span>
ASUS ROG Strix LC GeForce RTX 3080 Ti OC Edition 12GB GDDR6X Gaming Graphics Card,<span>TBA</span>
ZOTAC Gaming GeForce RTX 3070 Twin Edge OC LHR 8GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC Gaming GeForce RTX 3060 Ti AMP White Edition LHR 8GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3070 Ti AMP Extreme Holo 8GB GDDR6X Graphics Card,"<span>112,000৳</span>"
ZOTAC GAMING GeForce RTX 3080 Ti AMP Extreme Holo 12GB GDDR6X Graphics Card,"<span>185,000৳</span>"
